"qseqid","taxon","taxonomic_level","species","genus","family","order","class","phylum","kingdom"
"ASV234","Gadidae","family",NA,NA,"Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV255","Agonidae","family",NA,NA,"Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV288","Gadidae","family",NA,NA,"Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV3","Stichaeidae","family",NA,NA,"Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV326","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV328","Stichaeidae","family",NA,NA,"Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV37","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV393","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV40","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV406","Stichaeidae","family",NA,NA,"Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV429","Stichaeidae","family",NA,NA,"Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV430","Stichaeidae","family",NA,NA,"Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV453","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
